pH,tds,turbidity,bod,cod,temperature,heavy_metals,intended_reuse,recipe_class,alum_dose,polymer_dose,chlorine_dose,antiscalant_dose
6.45,1185,91,107,443,31,1,Washing,recipe_3,42.16,1.21,4.04,3.97
6.65,2461,101,101,533,33,0,Construction,recipe_3,53.31,1.71,3.92,3.42
5.64,617,18,291,39,23,1,Washing,recipe_3,38.86,1.51,4.16,3.73
6.42,2414,98,42,47,26,0,Irrigation,recipe_4,10.66,0.18,1.6,3.11
7.78,2020,166,368,539,30,1,Washing,recipe_3,37.11,1.52,3.27,3.29
6.32,1873,94,277,697,22,0,Industrial,recipe_3,46.6,1.42,3.53,3.64
6.9,460,160,272,743,30,0,Construction,recipe_3,50.74,1.45,3.87,4.35
6.98,1821,117,51,210,25,1,Irrigation,recipe_3,38.97,1.63,4.76,3.92
8.73,1666,71,39,714,38,1,Construction,recipe_3,48.87,1.77,4.44,4.07
7.92,750,199,130,705,16,1,Washing,recipe_3,45.49,1.52,3.77,4.5
6.82,889,163,39,30,29,0,Irrigation,recipe_4,11.78,0.16,1.96,2.87
8.31,1720,136,379,728,31,1,Cooling,recipe_3,53.98,1.43,4.36,3.46
7.23,2325,8,273,184,22,1,Industrial,recipe_3,50.33,1.4,3.29,4.46
6.49,962,130,68,362,37,0,Construction,recipe_2,40.96,1.06,3.01,0.0
5.97,2706,84,371,218,40,0,Cooling,recipe_3,49.43,1.55,3.51,4.04
5.16,2670,172,243,342,21,1,Irrigation,recipe_3,41.26,1.45,4.73,3.6
6.17,1463,149,97,643,29,0,Industrial,recipe_3,51.89,1.54,3.34,4.38
5.38,1773,20,181,215,34,0,Washing,recipe_3,49.62,1.73,3.52,4.35
5.43,2755,184,241,276,17,0,Industrial,recipe_3,52.93,1.43,4.79,4.01
6.69,1294,196,220,169,19,1,Cooling,recipe_3,50.79,1.55,3.23,4.32
5.72,1028,69,198,638,37,1,Irrigation,recipe_3,38.24,1.47,4.47,4.2
6.25,924,61,324,647,40,0,Irrigation,recipe_3,50.45,1.33,3.37,3.93
5.51,2586,72,110,751,20,0,Washing,recipe_3,53.43,1.4,3.45,3.43
7.11,2839,49,281,622,23,1,Cooling,recipe_3,53.86,1.31,3.79,4.58
5.97,701,159,271,473,25,1,Industrial,recipe_3,53.52,1.35,3.67,4.53
5.83,213,2,199,522,26,1,Washing,recipe_3,42.02,1.65,4.04,4.52
8.84,2927,39,16,720,25,1,Industrial,recipe_3,43.98,1.79,4.34,4.3
5.18,2136,65,186,666,34,0,Industrial,recipe_3,52.44,1.25,4.31,4.79
7.39,937,182,76,651,18,0,Irrigation,recipe_3,53.79,1.67,4.5,4.29
6.08,1753,171,375,254,40,1,Cooling,recipe_3,51.56,1.62,4.68,3.66
7.2,719,90,360,707,17,1,Washing,recipe_3,40.87,1.42,3.96,4.35
5.6,320,19,317,265,34,1,Construction,recipe_3,50.89,1.54,4.21,3.7
8.56,594,8,270,139,21,1,Construction,recipe_3,37.45,1.56,4.03,3.46
6.06,1328,12,130,634,20,0,Cooling,recipe_3,49.35,1.62,4.48,3.92
7.34,1312,26,184,126,16,1,Irrigation,recipe_3,42.15,1.46,3.96,4.08
8.35,548,151,363,331,35,1,Industrial,recipe_3,47.05,1.71,4.47,4.59
6.76,301,5,184,189,25,0,Industrial,recipe_1,20.14,0.44,1.75,0.0
8.05,722,121,55,358,21,1,Cooling,recipe_3,46.96,1.34,3.96,3.83
7.6,2896,32,59,492,26,0,Irrigation,recipe_3,53.33,1.72,4.43,4.68
8.31,287,126,380,335,26,0,Washing,recipe_3,45.21,1.37,4.03,3.72
8.24,725,72,39,346,29,1,Construction,recipe_3,38.11,1.45,4.26,3.66
8.22,2319,188,216,756,31,1,Washing,recipe_3,42.83,1.54,4.04,3.46
6.66,766,34,304,121,38,0,Irrigation,recipe_4,9.61,0.24,1.78,2.69
8.71,242,181,281,387,31,0,Construction,recipe_3,39.87,1.32,3.67,4.15
7.25,2379,5,140,134,22,0,Industrial,recipe_4,8.9,0.2,1.64,3.53
8.65,2137,62,240,195,31,0,Washing,recipe_3,49.72,1.68,4.05,3.85
5.63,1792,125,350,243,40,0,Cooling,recipe_3,36.6,1.3,3.94,3.29
7.08,2967,129,214,698,20,1,Cooling,recipe_3,44.58,1.71,4.29,4.58
5.15,2360,70,264,562,36,1,Cooling,recipe_3,36.61,1.39,3.46,3.25
7.99,2506,56,162,116,31,1,Industrial,recipe_3,41.94,1.35,3.95,4.2
6.77,1309,146,330,668,16,0,Washing,recipe_3,51.56,1.48,3.85,3.43
8.98,648,142,67,734,28,0,Industrial,recipe_3,50.75,1.21,3.61,3.92
7.28,1689,176,108,583,25,1,Industrial,recipe_3,41.43,1.34,4.26,4.3
7.43,1602,126,238,51,17,0,Industrial,recipe_2,34.52,1.18,2.95,0.0
6.74,568,2,88,286,15,0,Industrial,recipe_1,22.77,0.47,1.6,0.0
6.63,1079,17,145,399,30,1,Cooling,recipe_3,42.41,1.37,3.34,4.36
8.51,2051,62,36,220,24,1,Washing,recipe_3,53.49,1.33,3.67,3.87
6.7,696,68,338,129,19,0,Cooling,recipe_2,34.01,0.8,2.41,0.0
7.44,454,187,266,188,30,1,Construction,recipe_3,43.71,1.39,4.73,3.25
6.04,570,27,364,663,25,1,Construction,recipe_3,46.63,1.58,4.62,4.08
8.08,1009,53,291,286,27,1,Industrial,recipe_3,38.39,1.38,3.27,4.03
5.25,1621,175,93,138,25,1,Construction,recipe_3,47.91,1.76,3.6,3.83
8.27,2241,163,23,144,16,0,Washing,recipe_3,40.94,1.48,3.63,4.59
6.58,2564,17,219,624,39,0,Construction,recipe_3,44.22,1.34,3.68,4.09
5.39,1730,49,202,720,31,1,Industrial,recipe_3,44.38,1.2,4.73,4.03
5.74,2552,107,38,769,24,1,Cooling,recipe_3,50.31,1.54,3.5,4.6
7.98,1000,163,47,368,29,0,Cooling,recipe_3,46.26,1.77,3.48,3.85
6.33,1253,9,94,116,40,0,Industrial,recipe_1,17.86,0.57,2.01,0.0
6.52,1374,53,294,504,39,1,Washing,recipe_3,40.53,1.47,3.3,3.58
5.18,2706,74,64,358,29,0,Washing,recipe_3,51.18,1.44,4.27,3.79
8.84,1122,108,297,77,40,1,Cooling,recipe_3,49.32,1.59,4.66,3.51
6.51,1462,34,218,105,29,1,Cooling,recipe_3,44.64,1.49,4.43,4.66
5.02,2999,19,344,239,15,1,Irrigation,recipe_3,39.17,1.44,4.39,4.38
6.81,2838,47,182,438,31,1,Cooling,recipe_3,46.49,1.59,3.38,3.74
5.1,1300,191,273,50,18,0,Cooling,recipe_3,53.77,1.57,4.08,3.38
6.48,1327,4,235,70,33,1,Cooling,recipe_3,50.43,1.53,4.14,4.71
5.97,882,61,171,786,25,0,Washing,recipe_3,53.4,1.2,3.74,4.75
5.25,2351,163,84,313,18,0,Washing,recipe_3,40.24,1.48,3.47,3.57
7.23,957,44,332,497,28,0,Industrial,recipe_3,45.28,1.38,3.61,4.36
6.05,2065,77,358,109,40,1,Industrial,recipe_3,36.3,1.41,3.56,3.51
5.71,705,119,267,292,33,0,Cooling,recipe_3,47.5,1.35,3.27,4.02
8.54,460,82,87,678,32,1,Irrigation,recipe_3,53.76,1.55,4.49,4.3
7.01,2914,150,348,414,35,0,Construction,recipe_3,53.72,1.47,3.56,4.44
5.6,2885,157,157,615,19,0,Cooling,recipe_3,46.73,1.59,3.63,4.08
6.18,2089,21,103,247,20,1,Industrial,recipe_3,44.72,1.63,4.0,3.37
8.75,2830,192,230,134,26,0,Construction,recipe_3,41.48,1.2,3.44,3.84
6.77,2688,71,160,752,22,0,Washing,recipe_3,53.49,1.63,3.37,3.98
5.68,2740,7,309,59,35,1,Cooling,recipe_3,44.75,1.39,4.1,4.68
7.69,2154,71,286,40,38,1,Irrigation,recipe_3,53.68,1.59,4.74,4.79
5.46,1561,58,360,152,15,0,Cooling,recipe_3,43.98,1.48,4.26,4.38
5.94,2739,13,126,222,24,1,Industrial,recipe_3,45.82,1.72,3.66,4.18
8.64,2782,127,201,729,39,1,Industrial,recipe_3,48.49,1.79,3.3,3.72
5.63,715,29,17,184,40,0,Construction,recipe_1,20.33,0.59,2.12,0.0
5.35,2923,144,351,400,40,1,Irrigation,recipe_3,53.5,1.38,3.94,4.36
7.38,418,176,365,157,24,0,Washing,recipe_3,50.51,1.75,3.29,4.29
7.75,2716,191,363,304,26,1,Industrial,recipe_3,46.9,1.52,4.06,4.66
8.56,1321,111,290,298,34,0,Cooling,recipe_3,37.5,1.23,3.76,4.68
5.62,332,47,379,71,38,0,Irrigation,recipe_2,36.17,0.93,3.59,0.0
6.43,633,87,209,255,24,1,Irrigation,recipe_3,47.0,1.26,4.7,3.96
7.53,2775,171,58,667,21,0,Irrigation,recipe_3,53.84,1.47,3.66,3.34
5.43,1464,78,86,635,17,0,Cooling,recipe_3,40.94,1.7,3.94,4.69
8.46,2185,118,201,758,32,0,Industrial,recipe_3,50.09,1.49,3.24,4.59
8.75,2025,140,125,88,16,0,Construction,recipe_3,47.24,1.25,4.56,3.26
5.47,1692,26,52,294,36,1,Industrial,recipe_3,45.84,1.67,3.96,3.5
5.75,2218,77,287,89,16,0,Cooling,recipe_3,53.37,1.21,4.01,4.2
5.57,1070,98,363,554,37,0,Cooling,recipe_3,37.59,1.45,3.36,4.6
6.55,1782,29,308,106,21,1,Industrial,recipe_3,48.98,1.72,3.75,3.82
5.01,2927,194,276,305,18,1,Irrigation,recipe_3,44.48,1.21,3.33,3.44
7.35,1122,135,343,218,38,0,Industrial,recipe_3,39.1,1.61,3.67,3.53
8.0,2844,104,369,687,32,1,Washing,recipe_3,52.62,1.46,3.51,4.16
7.01,2121,96,133,443,28,1,Cooling,recipe_3,50.91,1.28,4.73,4.78
8.13,1190,196,194,327,33,1,Irrigation,recipe_3,49.94,1.55,3.28,3.56
7.3,2467,125,211,662,20,1,Washing,recipe_3,49.62,1.58,3.35,3.9
5.09,1362,9,276,724,20,1,Irrigation,recipe_3,51.08,1.6,3.78,3.61
5.8,1898,52,321,582,21,1,Construction,recipe_3,42.3,1.63,3.5,3.44
6.9,1868,121,181,700,33,0,Cooling,recipe_3,48.53,1.25,3.91,4.37
5.14,665,112,175,406,26,0,Construction,recipe_3,40.7,1.2,4.36,3.38
6.99,1451,188,174,671,18,1,Industrial,recipe_3,44.4,1.59,3.65,4.59
8.71,1896,171,322,316,29,0,Washing,recipe_3,45.49,1.5,4.3,3.25
8.99,1265,123,41,795,19,1,Cooling,recipe_3,36.13,1.55,4.64,4.21
8.38,1589,114,339,786,15,0,Irrigation,recipe_3,49.64,1.25,3.85,3.77
8.95,403,134,336,523,34,1,Irrigation,recipe_3,50.59,1.28,4.39,3.65
8.71,344,60,74,694,23,0,Construction,recipe_3,44.09,1.22,4.39,4.43
7.7,1284,52,215,671,29,0,Construction,recipe_3,50.67,1.46,4.69,4.59
8.04,2603,60,261,421,36,0,Washing,recipe_3,43.81,1.7,4.49,3.96
7.15,425,33,68,473,17,0,Construction,recipe_2,29.68,0.81,2.81,0.0
7.86,954,76,273,694,39,0,Cooling,recipe_3,49.72,1.35,4.79,4.14
5.14,441,186,277,402,18,0,Construction,recipe_3,41.25,1.62,4.4,4.58
6.46,1577,23,162,625,31,1,Cooling,recipe_3,41.51,1.56,3.83,3.65
6.94,759,186,165,729,25,1,Cooling,recipe_3,36.46,1.57,4.11,3.4
7.33,2023,45,265,147,37,0,Irrigation,recipe_3,47.01,1.42,4.35,4.58
5.39,845,33,337,107,35,0,Cooling,recipe_4,9.67,0.19,2.17,3.17
6.52,1894,179,165,727,38,1,Irrigation,recipe_3,38.44,1.64,4.46,4.1
6.45,531,166,101,575,26,0,Cooling,recipe_3,42.69,1.72,3.58,4.66
6.75,1265,68,148,606,27,0,Construction,recipe_3,51.39,1.77,3.32,3.69
8.6,810,177,105,484,19,1,Irrigation,recipe_3,36.79,1.45,4.75,3.61
8.97,1695,77,282,470,40,0,Cooling,recipe_3,40.21,1.56,4.05,4.59
5.13,1618,97,227,113,23,0,Cooling,recipe_3,44.25,1.45,4.13,4.04
5.94,813,196,232,489,23,1,Industrial,recipe_3,50.42,1.44,3.32,3.74
7.98,993,199,329,451,31,0,Industrial,recipe_3,44.63,1.78,4.55,3.62
8.2,384,136,197,153,23,1,Washing,recipe_3,42.75,1.65,4.02,4.45
7.85,942,48,160,210,18,0,Construction,recipe_4,9.34,0.18,1.87,2.91
6.69,1078,195,357,387,30,0,Cooling,recipe_3,43.13,1.55,3.32,4.56
5.75,2260,176,380,156,22,1,Washing,recipe_3,44.63,1.64,3.95,3.71
5.82,1721,161,206,719,27,1,Cooling,recipe_3,44.89,1.74,3.41,3.47
8.38,1888,31,13,384,15,1,Construction,recipe_3,39.24,1.32,4.72,3.23
7.21,401,20,125,250,35,0,Washing,recipe_1,22.26,0.56,2.1,0.0
6.84,808,27,243,676,29,0,Cooling,recipe_3,51.52,1.66,4.65,4.3
7.17,2451,79,389,528,35,1,Cooling,recipe_3,39.76,1.57,4.25,4.78
5.26,361,78,37,579,18,1,Construction,recipe_3,51.05,1.35,3.44,4.47
6.43,1537,3,392,666,31,0,Cooling,recipe_3,50.75,1.75,3.76,4.25
7.04,2892,50,179,41,23,0,Construction,recipe_4,9.56,0.22,1.69,2.95
8.14,1698,40,269,44,23,0,Industrial,recipe_2,35.9,1.03,2.77,0.0
7.15,2305,128,391,476,38,1,Washing,recipe_3,38.5,1.23,3.71,4.17
6.75,200,139,293,346,36,0,Washing,recipe_3,42.21,1.52,4.61,3.37
8.59,1680,180,391,547,19,1,Construction,recipe_3,49.28,1.31,3.95,3.49
5.79,1395,16,337,263,17,0,Construction,recipe_3,46.85,1.69,4.35,4.31
5.97,311,180,177,454,17,1,Irrigation,recipe_3,52.78,1.68,3.6,4.58
7.19,2874,197,335,792,36,1,Irrigation,recipe_3,51.63,1.31,4.53,4.66
6.56,648,36,278,685,23,0,Industrial,recipe_3,51.52,1.69,4.48,3.99
5.25,2586,96,168,742,34,0,Cooling,recipe_3,52.04,1.61,3.71,3.63
8.22,2650,187,384,789,38,0,Washing,recipe_3,45.21,1.73,3.79,3.51
8.18,2163,54,242,82,21,1,Washing,recipe_3,37.3,1.6,3.4,3.39
8.14,1987,17,207,601,34,0,Irrigation,recipe_3,39.92,1.63,4.35,3.67
8.81,439,167,258,173,17,0,Irrigation,recipe_3,40.81,1.54,3.34,4.73
6.46,1655,25,125,175,34,1,Cooling,recipe_3,38.12,1.26,4.06,4.11
5.52,1548,165,377,605,34,1,Cooling,recipe_3,52.11,1.38,4.66,4.47
8.1,2119,162,102,630,25,1,Irrigation,recipe_3,41.72,1.7,3.65,4.59
6.88,308,74,80,521,33,1,Irrigation,recipe_3,36.2,1.54,3.96,3.83
6.34,2384,158,130,587,21,1,Industrial,recipe_3,36.8,1.3,3.75,4.21
5.89,2444,82,346,365,40,0,Washing,recipe_3,45.1,1.49,3.36,4.14
7.12,379,104,294,172,19,1,Industrial,recipe_3,46.35,1.24,4.41,3.88
8.53,561,192,388,383,23,1,Industrial,recipe_3,52.87,1.59,4.71,3.95
5.43,2346,171,196,679,22,0,Cooling,recipe_3,48.45,1.47,3.8,3.85
6.21,2115,199,368,59,20,0,Irrigation,recipe_3,44.41,1.25,4.5,3.83
8.71,330,136,152,645,33,0,Construction,recipe_3,51.8,1.55,4.53,4.75
6.09,2294,8,48,724,34,1,Industrial,recipe_3,39.01,1.26,3.28,4.18
8.7,2718,199,131,758,40,0,Cooling,recipe_3,47.06,1.53,4.43,3.58
7.69,673,188,124,199,16,1,Cooling,recipe_3,50.72,1.48,3.52,3.63
8.9,1579,85,106,477,29,0,Cooling,recipe_3,37.07,1.55,3.54,3.34
5.55,2045,143,266,510,30,0,Cooling,recipe_3,37.58,1.47,4.5,3.63
5.37,319,106,138,766,18,1,Construction,recipe_3,53.74,1.33,4.33,4.13
5.68,2265,15,84,560,31,1,Construction,recipe_3,41.16,1.39,3.78,3.89
7.47,358,163,328,468,32,0,Cooling,recipe_3,37.3,1.71,3.83,3.8
5.7,2781,182,341,130,24,1,Washing,recipe_3,41.76,1.77,4.56,4.61
8.72,675,103,126,448,21,0,Irrigation,recipe_3,47.98,1.68,4.04,4.36
7.28,2860,190,267,141,21,1,Irrigation,recipe_3,51.24,1.65,4.56,4.21
5.74,1842,55,257,118,21,0,Cooling,recipe_3,53.14,1.75,4.75,3.46
5.92,2518,123,329,487,29,0,Construction,recipe_3,40.19,1.24,4.24,3.86
5.8,2106,12,370,402,39,1,Construction,recipe_3,52.13,1.56,4.43,4.11
7.58,804,175,71,102,26,0,Industrial,recipe_4,9.84,0.2,2.04,2.6
7.83,1393,86,74,266,40,1,Irrigation,recipe_3,42.52,1.6,3.33,4.62
5.31,2087,185,150,482,30,0,Washing,recipe_3,53.27,1.53,3.29,3.63
5.05,429,102,125,632,28,0,Construction,recipe_3,43.32,1.66,4.74,4.11
8.72,279,125,225,590,36,1,Washing,recipe_3,48.15,1.78,3.35,4.79
5.74,1168,33,44,424,23,0,Irrigation,recipe_2,36.29,0.9,2.91,0.0
8.19,2119,169,238,394,36,0,Irrigation,recipe_3,43.44,1.29,4.15,4.01
7.11,1297,128,306,694,37,1,Cooling,recipe_3,52.57,1.39,4.35,3.65
6.96,1864,167,120,362,29,1,Industrial,recipe_3,44.45,1.22,4.25,3.44
7.3,2923,76,280,327,27,0,Washing,recipe_3,43.33,1.39,4.7,4.04
5.24,1014,25,71,597,40,1,Cooling,recipe_3,41.66,1.31,4.53,4.1
6.88,2833,136,187,718,38,1,Industrial,recipe_3,46.47,1.27,4.79,3.83
7.86,2622,63,111,602,38,1,Construction,recipe_3,42.27,1.58,3.84,3.75
8.21,2373,168,356,398,22,1,Cooling,recipe_3,50.36,1.49,3.79,3.29
7.19,1291,62,243,340,31,1,Washing,recipe_3,50.96,1.43,4.33,3.23
6.07,500,21,206,275,35,1,Industrial,recipe_3,46.97,1.61,3.38,3.96
8.86,1500,32,353,515,18,0,Washing,recipe_3,47.14,1.69,4.27,4.31
6.59,1567,62,246,102,26,1,Construction,recipe_3,49.13,1.34,3.75,4.3
6.1,2943,165,194,408,29,0,Irrigation,recipe_3,51.36,1.31,4.51,3.49
7.92,1597,15,281,373,31,0,Washing,recipe_3,38.01,1.76,3.81,3.87
7.67,240,126,330,183,22,1,Irrigation,recipe_3,39.63,1.21,3.24,3.33
7.64,2415,130,254,210,27,1,Washing,recipe_3,36.27,1.48,3.25,3.99
8.77,2063,178,86,376,35,0,Washing,recipe_3,48.73,1.55,4.05,4.79
8.54,2677,63,105,723,15,0,Irrigation,recipe_3,44.2,1.41,3.62,3.97
8.45,1812,36,307,181,38,1,Industrial,recipe_3,52.14,1.27,4.57,3.93
6.15,1666,29,198,676,39,1,Industrial,recipe_3,51.89,1.79,3.68,4.48
5.32,2159,154,206,136,31,0,Washing,recipe_3,36.17,1.34,4.55,3.21
5.19,2738,109,20,88,15,0,Irrigation,recipe_3,45.18,1.7,3.37,4.04
5.5,1512,185,203,75,33,0,Irrigation,recipe_3,36.26,1.56,3.44,4.47
7.25,674,178,318,286,30,1,Washing,recipe_3,50.55,1.61,4.42,3.29
6.94,2426,21,111,206,23,0,Washing,recipe_4,9.12,0.17,1.78,2.96
5.44,749,198,288,747,16,1,Construction,recipe_3,42.59,1.78,3.45,3.21
8.02,501,101,110,628,27,1,Washing,recipe_3,51.32,1.46,3.7,3.4
6.08,2476,108,381,779,27,0,Construction,recipe_3,52.94,1.59,3.96,3.95
7.29,2262,50,114,200,34,1,Industrial,recipe_3,38.98,1.34,3.34,3.75
6.19,1350,188,207,726,28,1,Washing,recipe_3,47.61,1.55,4.1,4.29
5.74,745,173,364,562,17,1,Construction,recipe_3,44.53,1.23,3.31,3.75
8.39,1355,198,375,92,39,0,Cooling,recipe_3,44.73,1.47,3.2,4.1
6.28,1223,122,43,573,31,0,Construction,recipe_3,42.45,1.73,3.82,4.35
5.23,432,144,218,249,24,0,Industrial,recipe_3,42.8,1.45,3.24,3.72
8.94,869,11,384,427,39,1,Cooling,recipe_3,38.08,1.34,3.95,3.89
5.17,726,190,188,158,20,1,Washing,recipe_3,45.9,1.43,4.61,4.19
5.23,459,6,249,772,39,1,Industrial,recipe_3,39.3,1.39,4.42,3.78
7.88,2219,138,347,364,40,0,Industrial,recipe_3,43.66,1.62,3.76,3.72
8.16,2903,121,169,481,33,0,Construction,recipe_3,52.43,1.75,4.16,3.33
8.5,1458,68,125,159,18,1,Industrial,recipe_3,47.53,1.26,3.42,4.26
5.39,1025,145,88,734,26,1,Washing,recipe_3,38.95,1.38,4.08,4.4
7.16,2958,76,332,481,15,0,Industrial,recipe_3,41.16,1.26,4.36,3.54
6.11,2126,66,350,536,38,0,Irrigation,recipe_3,40.91,1.69,4.02,4.51
6.55,651,127,127,494,32,1,Irrigation,recipe_3,42.62,1.61,4.31,4.77
5.25,1515,34,138,298,32,0,Industrial,recipe_3,37.78,1.22,4.55,3.49
5.95,1467,134,232,40,40,0,Washing,recipe_3,47.26,1.39,4.48,4.2
5.34,1818,8,257,687,38,1,Irrigation,recipe_3,45.55,1.35,3.24,4.5
5.98,332,118,154,133,39,0,Irrigation,recipe_2,29.64,1.17,3.0,0.0
5.79,1868,114,214,62,37,1,Cooling,recipe_3,41.28,1.58,3.66,3.72
7.27,628,166,243,36,27,1,Cooling,recipe_3,40.05,1.54,3.42,3.37
7.23,2106,29,298,756,20,1,Irrigation,recipe_3,44.53,1.72,4.32,4.57
5.31,1429,44,26,217,33,0,Washing,recipe_4,8.68,0.22,1.66,2.65
8.14,2757,29,334,383,26,1,Irrigation,recipe_3,45.73,1.5,3.89,4.1
7.38,2423,117,382,504,24,0,Irrigation,recipe_3,50.18,1.27,3.64,4.44
6.3,2433,116,302,133,23,0,Irrigation,recipe_3,42.42,1.76,3.65,3.31
5.53,394,161,306,521,28,0,Cooling,recipe_3,48.94,1.34,3.26,3.29
8.98,2799,114,142,339,39,1,Washing,recipe_3,46.88,1.34,3.61,3.94
6.05,526,2,119,487,39,1,Irrigation,recipe_3,44.51,1.65,3.22,4.25
7.93,1779,104,168,130,15,0,Washing,recipe_3,43.97,1.56,3.65,3.25
5.94,2254,51,257,627,27,0,Irrigation,recipe_3,50.16,1.37,3.47,4.46
6.92,1149,6,157,270,25,1,Washing,recipe_3,52.72,1.42,3.21,3.56
6.03,2970,111,261,209,34,0,Industrial,recipe_3,37.25,1.29,3.64,3.34
6.79,2243,30,43,106,18,1,Industrial,recipe_3,52.38,1.56,4.18,4.53
7.35,404,69,204,120,18,0,Industrial,recipe_4,9.56,0.19,2.12,3.3
5.09,875,8,189,444,22,1,Cooling,recipe_3,39.05,1.58,4.76,3.74
7.89,1263,34,238,459,20,0,Washing,recipe_3,48.98,1.62,4.12,3.55
6.9,815,22,192,455,22,0,Industrial,recipe_4,9.06,0.23,2.18,2.8
8.96,1228,58,383,800,35,0,Construction,recipe_3,48.64,1.68,3.46,3.43
6.52,2123,171,257,291,20,1,Industrial,recipe_3,43.58,1.25,3.78,3.79
5.14,1318,81,369,49,22,0,Irrigation,recipe_3,36.59,1.8,3.61,3.91
8.64,869,146,89,558,24,0,Cooling,recipe_3,40.48,1.73,3.81,4.5
7.42,1798,8,330,190,32,1,Irrigation,recipe_3,45.54,1.33,4.79,3.8
